O,D,Ton
1,2,703
1,3,746
1,4,596
1,5,993
1,6,255
1,7,89
1,8,1237
1,9,1169
1,10,167
1,11,1124
1,12,1280
1,13,671
1,14,344
1,15,174
1,16,25
1,17,637
1,18,1253
1,19,205
1,20,424
1,21,499
1,22,401
1,23,283
1,24,1
1,25,978
1,26,328
1,27,1280
1,28,158
1,29,570
1,30,1238
1,31,1501
1,32,96
1,33,837
1,34,920
1,35,142
1,36,219
1,37,1247
1,38,1376
2,1,998
2,3,715
2,4,150
2,5,797
2,6,1229
2,7,255
2,8,1069
2,9,688
2,10,1434
2,11,933
2,12,247
2,13,934
2,14,180
2,15,137
2,16,1218
2,17,524
2,18,538
2,19,781
2,20,997
2,21,393
2,22,1167
2,23,1245
2,24,461
2,25,1389
2,26,23
2,27,84
2,28,214
2,29,500
2,30,962
2,31,1371
2,32,725
2,33,569
2,34,1105
2,35,1056
2,36,163
2,37,787
2,38,934
3,1,1023
3,2,443
3,4,390
3,5,327
3,6,99
3,7,1241
3,8,1209
3,9,814
3,10,1093
3,11,625
3,12,1258
3,13,553
3,14,725
3,15,422
3,16,1099
3,17,1036
3,18,656
3,19,367
3,20,456
3,21,117
3,22,1279
3,23,695
3,24,987
3,25,899
3,26,1119
3,27,689
3,28,387
3,29,322
3,30,923
3,31,1298
3,32,407
3,33,264
3,34,373
3,35,293
3,36,589
3,37,1348
3,38,1370
4,1,1337
4,2,1521
4,3,616
4,5,32
4,6,501
4,7,351
4,8,501
4,9,275
4,10,495
4,11,350
4,12,888
4,13,126
4,14,1109
4,15,1413
4,16,1118
4,17,1422
4,18,682
4,19,847
4,20,152
4,21,129
4,22,600
4,23,326
4,24,846
4,25,425
4,26,1161
4,27,757
4,28,1045
4,29,960
4,30,975
4,31,342
4,32,709
4,33,1335
4,34,228
4,35,124
4,36,498
4,37,105
4,38,88
5,1,310
5,2,1233
5,3,911
5,4,949
5,6,1246
5,7,1093
5,8,378
5,9,1129
5,10,251
5,11,73
5,12,1185
5,13,86
5,14,1320
5,15,279
5,16,346
5,17,1427
5,18,297
5,19,1181
5,20,380
5,21,189
5,22,666
5,23,376
5,24,895
5,25,1381
5,26,544
5,27,1256
5,28,181
5,29,310
5,30,831
5,31,1094
5,32,362
5,33,1000
5,34,928
5,35,1119
5,36,380
5,37,276
5,38,416
6,1,1374
6,2,862
6,3,294
6,4,567
6,5,448
6,7,1140
6,8,68
6,9,937
6,10,1373
6,11,14
6,12,244
6,13,789
6,14,269
6,15,1396
6,16,722
6,17,107
6,18,94
6,19,893
6,20,171
6,21,964
6,22,1436
6,23,1382
6,24,513
6,25,213
6,26,14
6,27,225
6,28,982
6,29,189
6,30,959
6,31,133
6,32,51
6,33,15
6,34,677
6,35,203
6,36,851
6,37,802
6,38,619
7,1,1372
7,2,1372
7,3,1197
7,4,1026
7,5,1305
7,6,831
7,8,1025
7,9,428
7,10,696
7,11,324
7,12,58
7,13,1382
7,14,279
7,15,1325
7,16,1446
7,17,1229
7,18,429
7,19,1166
7,20,502
7,21,1297
7,22,562
7,23,89
7,24,690
7,25,663
7,26,1473
7,27,907
7,28,673
7,29,1196
7,30,409
7,31,635
7,32,872
7,33,1038
7,34,866
7,35,858
7,36,955
7,37,338
7,38,1405
8,1,1538
8,2,375
8,3,1101
8,4,188
8,5,1454
8,6,1459
8,7,1000
8,9,566
8,10,272
8,11,1033
8,12,420
8,13,769
8,14,1342
8,15,497
8,16,1382
8,17,316
8,18,1375
8,19,1346
8,20,448
8,21,308
8,22,1225
8,23,94
8,24,550
8,25,307
8,26,373
8,27,734
8,28,943
8,29,1200
8,30,997
8,31,1386
8,32,213
8,33,994
8,34,1237
8,35,1453
8,36,1299
8,37,1343
8,38,610
9,1,311
9,2,212
9,3,797
9,4,1259
9,5,197
9,6,835
9,7,713
9,8,963
9,10,597
9,11,651
9,12,516
9,13,1262
9,14,278
9,15,1345
9,16,551
9,17,351
9,18,1396
9,19,327
9,20,622
9,21,986
9,22,1091
9,23,766
9,24,2
9,25,1173
9,26,157
9,27,840
9,28,253
9,29,1242
9,30,195
9,31,110
9,32,822
9,33,104
9,34,858
9,35,723
9,36,1128
9,37,105
9,38,652
10,1,893
10,2,4
10,3,1174
10,4,1003
10,5,1438
10,6,1489
10,7,587
10,8,1103
10,9,1065
10,11,10
10,12,642
10,13,555
10,14,552
10,15,1463
10,16,583
10,17,549
10,18,1288
10,19,913
10,20,531
10,21,1156
10,22,1048
10,23,1054
10,24,1410
10,25,321
10,26,402
10,27,341
10,28,91
10,29,424
10,30,53
10,31,728
10,32,348
10,33,805
10,34,1209
10,35,132
10,36,730
10,37,805
10,38,1137
11,1,1124
11,2,1105
11,3,1275
11,4,1226
11,5,804
11,6,1242
11,7,1269
11,8,462
11,9,15
11,10,1060
11,12,1240
11,13,602
11,14,1191
11,15,653
11,16,1041
11,17,853
11,18,1088
11,19,454
11,20,946
11,21,439
11,22,1426
11,23,677
11,24,1329
11,25,235
11,26,1298
11,27,188
11,28,1232
11,29,817
11,30,146
11,31,1014
11,32,208
11,33,483
11,34,1044
11,35,62
11,36,531
11,37,1045
11,38,321
12,1,1277
12,2,78
12,3,301
12,4,262
12,5,837
12,6,359
12,7,513
12,8,330
12,9,1381
12,10,818
12,11,1347
12,13,594
12,14,832
12,15,1206
12,16,742
12,17,876
12,18,11
12,19,45
12,20,975
12,21,701
12,22,900
12,23,609
12,24,914
12,25,100
12,26,353
12,27,1229
12,28,1041
12,29,460
12,30,1060
12,31,1092
12,32,823
12,33,18
12,34,849
12,35,306
12,36,68
12,37,1336
12,38,789
13,1,722
13,2,842
13,3,457
13,4,1076
13,5,442
13,6,873
13,7,320
13,8,88
13,9,694
13,10,1079
13,11,721
13,12,251
13,14,508
13,15,1343
13,16,114
13,17,428
13,18,1208
13,19,1390
13,20,680
13,21,288
13,22,1146
13,23,487
13,24,405
13,25,463
13,26,348
13,27,665
13,28,392
13,29,1254
13,30,873
13,31,239
13,32,287
13,33,1075
13,34,33
13,35,1380
13,36,894
13,37,1108
13,38,608
14,1,123
14,2,710
14,3,1336
14,4,1204
14,5,1110
14,6,1187
14,7,450
14,8,1491
14,9,1376
14,10,1095
14,11,1260
14,12,167
14,13,271
14,15,1456
14,16,259
14,17,776
14,18,746
14,19,858
14,20,544
14,21,1470
14,22,141
14,23,990
14,24,1110
14,25,896
14,26,894
14,27,342
14,28,447
14,29,1174
14,30,1086
14,31,1257
14,32,686
14,33,490
14,34,192
14,35,1348
14,36,727
14,37,50
14,38,156
15,1,60
15,2,836
15,3,1430
15,4,390
15,5,612
15,6,932
15,7,1147
15,8,1128
15,9,136
15,10,1061
15,11,942
15,12,536
15,13,1038
15,14,617
15,16,1159
15,17,669
15,18,1050
15,19,1195
15,20,302
15,21,507
15,22,1447
15,23,917
15,24,77
15,25,788
15,26,652
15,27,773
15,28,680
15,29,925
15,30,891
15,31,1121
15,32,335
15,33,1138
15,34,755
15,35,36
15,36,523
15,37,597
15,38,724
16,1,24
16,2,588
16,3,540
16,4,647
16,5,167
16,6,439
16,7,1466
16,8,743
16,9,61
16,10,1482
16,11,275
16,12,1448
16,13,18
16,14,398
16,15,789
16,17,112
16,18,230
16,19,661
16,20,217
16,21,35
16,22,565
16,23,1370
16,24,505
16,25,1259
16,26,1302
16,27,750
16,28,425
16,29,1189
16,30,1366
16,31,154
16,32,848
16,33,1221
16,34,1183
16,35,246
16,36,1005
16,37,373
16,38,501
17,1,438
17,2,854
17,3,240
17,4,1353
17,5,951
17,6,978
17,7,499
17,8,1453
17,9,1057
17,10,696
17,11,191
17,12,118
17,13,1031
17,14,1159
17,15,1173
17,16,226
17,18,319
17,19,153
17,20,1385
17,21,65
17,22,953
17,23,285
17,24,432
17,25,1167
17,26,990
17,27,7
17,28,1503
17,29,1199
17,30,223
17,31,647
17,32,1254
17,33,432
17,34,1201
17,35,126
17,36,220
17,37,273
17,38,464
18,1,1090
18,2,725
18,3,1118
18,4,1179
18,5,1191
18,6,411
18,7,1217
18,8,204
18,9,1108
18,10,232
18,11,650
18,12,195
18,13,1401
18,14,816
18,15,173
18,16,566
18,17,473
18,19,855
18,20,449
18,21,555
18,22,633
18,23,72
18,24,667
18,25,606
18,26,787
18,27,35
18,28,258
18,29,531
18,30,672
18,31,113
18,32,431
18,33,1288
18,34,1150
18,35,277
18,36,85
18,37,188
18,38,567
19,1,536
19,2,1319
19,3,356
19,4,261
19,5,619
19,6,619
19,7,1074
19,8,714
19,9,280
19,10,424
19,11,534
19,12,330
19,13,879
19,14,1355
19,15,144
19,16,1137
19,17,12
19,18,695
19,20,470
19,21,175
19,22,1332
19,23,970
19,24,740
19,25,1181
19,26,1346
19,27,1317
19,28,165
19,29,68
19,30,1397
19,31,1193
19,32,1239
19,33,581
19,34,1260
19,35,1469
19,36,794
19,37,964
19,38,284
20,1,602
20,2,1432
20,3,765
20,4,702
20,5,1286
20,6,618
20,7,712
20,8,1216
20,9,401
20,10,1483
20,11,679
20,12,1240
20,13,1389
20,14,1234
20,15,910
20,16,1090
20,17,1346
20,18,443
20,19,263
20,21,935
20,22,359
20,23,269
20,24,355
20,25,828
20,26,69
20,27,1446
20,28,527
20,29,98
20,30,837
20,31,1460
20,32,1126
20,33,468
20,34,1419
20,35,1271
20,36,318
20,37,1107
20,38,568
21,1,315
21,2,1189
21,3,197
21,4,1149
21,5,827
21,6,545
21,7,639
21,8,1158
21,9,489
21,10,970
21,11,990
21,12,111
21,13,500
21,14,217
21,15,320
21,16,203
21,17,1505
21,18,666
21,19,933
21,20,929
21,22,759
21,23,508
21,24,1437
21,25,1091
21,26,1065
21,27,1351
21,28,1307
21,29,1214
21,30,877
21,31,163
21,32,250
21,33,1188
21,34,729
21,35,855
21,36,1204
21,37,77
21,38,1046
22,1,1363
22,2,1344
22,3,1253
22,4,832
22,5,873
22,6,1278
22,7,689
22,8,1177
22,9,1059
22,10,1269
22,11,351
22,12,208
22,13,995
22,14,1084
22,15,176
22,16,904
22,17,1166
22,18,1007
22,19,470
22,20,265
22,21,1387
22,23,994
22,24,88
22,25,1149
