O,D,Ton
1,1,385
1,2,29
1,3,440
1,4,384
1,5,698
1,6,375
1,7,203
1,8,646
1,9,607
1,10,646
1,11,542
1,12,148
1,13,551
1,14,32
1,15,314
1,16,37
1,17,701
1,18,691
1,19,74
1,20,224
1,21,545
1,22,523
1,23,389
1,24,278
1,25,347
1,26,588
1,27,490
1,28,283
1,29,315
1,30,606
1,31,35
1,32,10
1,33,403
1,34,385
1,35,299
1,36,624
1,37,131
1,38,109
1,39,23
1,40,428
1,41,91
1,42,699
1,43,339
1,44,251
1,45,300
1,46,523
1,47,483
1,48,304
1,49,614
1,50,550
1,51,706
1,52,365
1,53,150
1,54,488
1,55,150
1,56,237
1,57,548
1,58,342
1,59,142
1,60,42
1,61,526
1,62,266
1,63,648
1,64,227
1,65,185
1,66,509
1,67,226
1,68,399
1,69,69
1,70,237
1,71,447
1,72,230
1,73,209
1,74,227
2,1,128
2,2,622
2,3,78
2,4,137
2,5,146
2,6,67
2,7,675
2,8,183
2,9,514
2,10,367
2,11,64
2,12,575
2,13,234
2,14,552
2,15,72
2,16,76
2,17,620
2,18,376
2,19,60
2,20,642
2,21,589
2,22,167
2,23,72
2,24,107
2,25,45
2,26,674
2,27,459
2,28,683
2,29,693
2,30,686
2,31,199
2,32,331
2,33,362
2,34,638
2,35,447
2,36,672
2,37,5
2,38,212
2,39,547
2,40,72
2,41,483
2,42,75
2,43,193
2,44,472
2,45,578
2,46,306
2,47,491
2,48,65
2,49,537
2,50,11
2,51,164
2,52,718
2,53,427
2,54,635
2,55,672
2,56,128
2,57,420
2,58,379
2,59,79
2,60,557
2,61,628
2,62,303
2,63,545
2,64,721
2,65,476
2,66,660
2,67,715
2,68,551
2,69,694
2,70,235
2,71,373
2,72,158
2,73,755
2,74,208
3,1,686
3,2,521
3,3,311
3,4,315
3,5,401
3,6,516
3,7,608
3,8,239
3,9,680
3,10,39
3,11,675
3,12,17
3,13,13
3,14,234
3,15,384
3,16,426
3,17,198
3,18,218
3,19,331
3,20,255
3,21,469
3,22,230
3,23,376
3,24,371
3,25,4
3,26,53
3,27,617
3,28,470
3,29,473
3,30,456
3,31,224
3,32,413
3,33,59
3,34,563
