O,D,Ton
1000000,1000000,0.0
1000000,1000001,0.0
1000000,1000002,0.0
1000000,1000003,0.0
1000000,1000004,6.5
1000000,1000005,0.0
1000000,1000007,0.0
1000000,1000008,0.0
1000000,1000009,0.0
1000000,1000010,0.0
1000000,1000011,0.0
1000000,1000012,49.7
1000000,1000013,0.0
1000000,1000014,0.0
1000000,1000015,7.1
1000000,1000016,0.0
1000000,1000017,0.0
1000000,1000018,4.8
1000000,1000019,0.0
1000000,1000020,0.0
1000000,1000021,0.0
1000000,1000022,0.0
1000000,1000023,17.1
1000000,1000024,0.0
1000000,1000025,0.0
1000000,1000026,0.0
1000000,1000027,0.0
1000000,1000028,32.2
1000000,1000029,50.3
1000000,1000030,0.0
1000000,1000031,1.1
1000000,1000032,0.0
1000000,1000033,0.0
1000000,1000034,0.0
1000000,1000035,0.0
1000000,1000036,2.3
1000000,1000037,0.0
1000000,1000038,104.9
1000000,1000039,0.0
1000000,1000040,0.0
1000000,1000041,15.8
1000000,1000042,0.0
1000000,1000043,0.0
1000000,1000044,0.0
1000000,1000045,209.8
1000000,1000046,0.0
1000000,1000047,0.0
1000000,1000048,2.6
1000000,113707,3.4
1000000,114425,0.0
1000000,114430,0.0
1000000,114489,0.0
1000000,114588,1.5
1000000,2146236900,3.0
1000000,2146237252,5.3
1000000,2146237358,45.93333333333334
1000000,2146237363,28.25333333333333
1000000,2146237366,15.6
1000000,2146237373,13.1
1000000,2146237375,4.1
1000000,2146237805,0.6599999999999999
1000000,2146237822,0.4
1000000,2146237837,0.6433333333333333
1000000,2146237900,85.89999999999999
1000000,2146237901,0.635
1000000,2146237902,0.48333333333333334
1000000,2146237904,0.0
1000000,2146237906,0.0
1000000,2146237907,2.1333333333333333
1000000,2146237908,149.66666666666666
1000000,2146237909,73.775
1000000,2146237910,37.4
1000000,2146237911,777.2
1000000,2146237912,286.47499999999997
1000000,2146237913,14.524999999999999
1000000,2146237915,3.0
1000000,2146237917,1.275
1000000,2146237920,1.0233333333333334
1000000,2146237921,0.54
1000000,2146237928,1.75
1000000,2146237929,18.416666666666664
1000000,2146237930,8.62
1000000,2146237931,2.915
1000000,2146237932,113.025
1000000,280907,88.625
1000000,282361,0.0
1000000,282575,0.0
1000000,282586,528.8
1000000,282587,200.88
1000000,282599,0.0
1000000,73510,1.0
1000000,73751,0.0
1000000,73760,1.0
1000000,73816,0.0
1000000,73876,1.2333333333333334
1000000,73972,1.2333333333333334
1000000,74055,0.0
1000000,74232,0.0
1000000,74451,1.2333333333333334
1000000,74521,3.825
1000000,74723,1.75
1000000,74984,1.75
1000000,75006,3.825
1000000,75064,0.0
1000000,75131,0.0
1000000,75279,15.691666666666666
1000000,75318,8.65
1000000,75467,0.0
1000000,75533,6.3
1000000,75579,14.524999999999999
1000000,75627,18.52
1000000,75631,3.4
1000000,75634,11.524999999999999
1000000,75659,3.4
1000000,75766,16.686666666666667
1000000,75778,722.5
1000000,75794,528.8
1000000,75880,1.4666666666666668
1000000,75937,42.15
1000000,75961,5.35
1000000,76069,14.416666666666666
1000000,76072,2.4833333333333334
1000000,76108,10.2
1000000,76138,23.445
1000000,76144,2.4833333333333334
1000000,76153,15.219999999999999
1000000,76187,282.65
1000000,76243,820.675
1000000,76300,42.15
1000000,76316,42.15
1000000,76354,2.4833333333333334
1000000,76442,1.8
1000000,76462,19.549999999999997
1000000,76513,13.033333333333333
1000000,76541,538.025
1000000,76550,151.625
1000000,76554,11.55
1000000,76573,7.433333333333334
1000000,76579,20.46666666666667
1000000,76599,2.6833333333333336
1000000,76604,200.88
1000000,76634,200.88
1000000,76655,2.6833333333333336
1000000,76673,482.9
1000000,76712,538.025
1000000,76727,9.35
1000000,76732,538.025
1000000,76735,722.5
1000000,76759,3.533333333333333
1000000,76801,9.35
1000000,76812,61.56666666666666
1000000,76819,146.875
1000000,76824,200.88
1000000,76840,32.68333333333334
1000000,76844,37.4
1000000,76851,200.25
1000000,76862,90.775
1000000,76921,50.650000000000006
1000000,76949,3.533333333333333
1000000,76963,154.80833333333334
1000000,77007,255.57999999999998
1000000,77022,24.333333333333332
1000000,77039,3.533333333333333
