O,D,Ton
73510,73510,322
73510,73751,462
73510,73760,518
73510,73816,446
73510,73876,381
73510,73972,62
73510,74055,369
73510,74232,408
73510,74451,530
73510,74521,261
73510,74723,119
73510,74984,93
73510,75006,154
73510,75064,443
73510,75131,283
73510,75279,22
73510,75318,477
73510,75467,294
73510,75533,79
73510,75579,314
73510,75627,430
73510,75631,116
73510,75634,501
73510,75659,158
73510,75766,524
73510,75778,124
73510,75794,188
73510,75880,498
73510,75937,27
73510,75961,444
73510,76069,75
73510,76072,114
73510,76108,246
73510,76138,547
73510,76144,236
73510,76153,222
73510,76187,301
73510,76243,163
73510,76300,43
73510,76316,72
73510,76354,428
73510,76442,142
73510,76462,156
73510,76513,492
73510,76541,528
73510,76554,172
73510,76573,455
73510,76579,302
73510,76599,111
73510,76604,14
73510,76634,206
73510,76655,464
73510,76673,532
73510,76712,20
73510,76727,195
73510,76732,247
73510,76735,316
73510,76759,391
73510,76801,439
73510,76812,347
73510,76819,77
73510,76824,168
73510,76840,555
73510,76844,485
73510,76851,89
73510,76862,520
73510,76921,252
73510,76949,402
73510,76963,41
73510,77007,422
73510,77022,441
73510,77039,288
73510,77056,561
73510,77076,121
73510,77104,299
73510,77108,486
73510,77110,427
73510,77142,9
73510,77166,15
73510,77174,424
73510,77182,279
73510,77189,529
73510,77223,120
73510,77227,72
73510,77250,83
73510,77295,367
73510,77303,218
73510,77317,47
73510,77342,161
73510,77377,271
73510,77387,144
73510,77398,93
73510,77406,367
73510,77433,318
73510,77434,171
73510,77450,462
73510,77469,357
73510,77481,386
73510,77485,29
73510,77489,251
73510,77511,109
73510,77520,487
73510,77546,231
73510,77559,133
73510,77561,91
73510,77577,286
73510,77604,278
73510,77614,145
73510,77624,100
73510,77639,151
73510,77669,320
73510,77678,138
73510,77688,558
73510,77692,518
73510,77700,216
73510,77738,112
73510,77742,430
73510,77800,586
73510,77809,104
73510,77815,197
73510,77818,564
73510,77820,524
73510,77870,532
73510,77871,338
73510,77872,576
73510,77877,78
73510,77883,205
73510,77887,97
73510,77897,15
73510,77910,201
73510,77930,175
73510,77931,207
73510,77987,169
73510,77989,148
73510,78066,213
73510,78070,410
73510,78098,94
73510,78144,228
73510,78187,268
73510,78204,162
73510,78205,483
73510,78207,154
73510,78212,125
73510,78231,29
73510,78233,450
73510,78242,77
73510,78249,117
73510,78278,229
73510,78289,250
73510,78300,177
73510,78344,587
73510,78360,4
73510,78388,420
73510,78425,473
73510,78461,551
73510,78467,380
73510,78478,64
73510,78487,189
73510,78510,497
73510,78579,218
73510,78679,420
73510,78692,293
73510,78703,285
73510,78726,367
73510,78771,76
73510,78903,507
73510,78929,228
73510,78974,54
73510,79022,399
73510,79047,448
73510,79049,286
73510,79060,262
73510,79066,172
73510,79079,183
73510,79126,128
73510,79169,176
73510,79188,556
73510,79203,501
73510,79208,48
73510,79320,240
73510,79358,500
73510,79409,19
73510,79460,330
73510,79524,426
73510,79701,398
73510,79719,379
73510,79968,179
73510,80004,28
73510,80020,360
73510,80109,193
73510,80264,150
73510,80332,466
73510,80833,407
73510,80838,409
73510,113707,370
73510,114425,66
73510,114430,124
73510,114489,490
73510,114588,132
73510,280907,294
73510,282361,573
73510,282575,426
73510,282586,326
73510,282587,198
73510,282599,341
73510,1000000,405
73510,1000001,570
73510,1000002,252
73510,1000003,140
73510,1000004,285
73510,1000005,371
73510,1000007,232
